Species,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizocortex,Hippocampus,NeoWG,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_cortico_basolateralis,Nucleus_amygdalae_basalis_parsmagnocellularis,Brainvol,NeoG_Frahm,NeoW_Frahm,ASG_Sousa,LGN_Sousa,Pons,Total_insula_volume,FI_volume,Agranular_volume,Granular_volume,Dysgranular_volume,Brain_volume,Brain_mass,Body_mass
Alouatta_seniculus,"6,400","52,000",616,568,"49,009","1,593","5,699",986,"3,344",37.388,41.4,0.595,827,200,"2,829",510,"1,320","31,660",,,,,,,,,488,413,94.9,0,318,30.7,"50,193.05",21791,9869,1918,87.4,,,,,,,,,
Aotus_trivirgatus,830,"17,100",105,206,"16,195",686,"1,873",409,"1,098","12,128",56,0.222,394,83.8,862,243,539,"9,950",,,,,,,,,203,201,54.5,0.201,147,15.7,"16,505.79",7776,2174,996,32.9,112.1,,,,,,,,
Ateles_geoffroyi,"8,000","108,000","1,389","1,824","101,034","1,834","12,438","1,482","5,334","79,946",90.4,2.19,"1,625",324,"4,950",732,"1,366","70,856",30.5,"2,930",629,860,807,52.8,570,204,,,,,,,"104,247.10",,,3753,151,,0.416,,0.135,0.1,0.181,102.7,106.4,7.78
Avahi_laniger,"1,285","10,490",172,156,"9,798",553,"1,489",343,862,"6,550",89.2,3.01,284,69.7,524,241,526,"4,813",6.52,489,137,80.5,74.5,5.94,105,38.3,,,,,,,,,,475,27.6,60.9,0.038,,0.007,0.013,0.018,9.2568,9.6,1.03
Avahi_occidentalis,860,"9,670",73.7,137,"9,124",508,"1,383",345,861,"6,026",70.1,2.55,265,69.3,478,222,476,"4,443",,,,,,,,,,,,,,,,3666,777,450,29.3,60.3,,,,,,,,
Plecturocebus_moloch,900,"19,000",279,242,"17,944",787,"1,622",530,"1,375","13,465",19.2,0.325,454,86.4,920,234,588,"11,163",,,,,,,,,,,,,,,"18,339.77",,,1201,54.2,105.9,,,,,,,,
Callimico_goeldii,480,"11,000",47.9,59.5,"10,510",460,"1,240",340,739,"7,733",27,0.512,253,63.5,493,138,281,"6,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callithrix_jacchus,280,"7,600",52,42.9,"7,241",318,757,295,554,"5,318",22.8,0.326,191,49.8,372,90,221,"4,371",,,,,,,,,99.3,113,28.3,0.195,84.6,8.57,"7,335.91",3564,807.1,566,25.1,38.8,,,,,,,,
Callithrix_pygmaea,140,"4,500",24.5,16.9,"4,302",201,468,192,342,"3,099",12.3,0.386,133,29.2,174,81.8,133,"2,535",3.68,190,69.2,27.7,25.8,1.95,21.8,23.8,,,,,,,"4,343.63",2139,395.3,363,16.9,17.5,0.011,,0.001,0.003,0.007,4.005,4.2,0.11
Cebus_albifrons,"3,100","71,000",729,864,"66,939","1,738","7,871","1,221","3,996","52,113",39.9,0.667,931,174,3.258,390,890,"46,429",23.7,"2,163",418,609,567,41.7,549,207,567,502,118,0,384,41,"68,532.82",30630,15799,3764,137,682.2,0.297,,0.034,0.108,0.155,77.027,79.8,3.18
